	Mo.Ly6C+.Bl#1	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C+.Bl.KPd28#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd28#3
Gpr162	0	0	0	0	0	0	0	0	0
Gpr165	3	4	12	1	0	0	0	0	5
Gpr17	0	3	0	0	0	0	0	3	2
Gpr171	68	38	7	6	30	13	0	31	587
Gpr173	0	0	0	0	1	0	0	3	7
Gpr174	47	0	13	16	18	4	0	9	9
Gpr176	7	2	0	0	1	1	0	1	15
Gpr179	11	4	10	4	2	0	0	6	2
Gpr18	438	247	421	92	353	98	0	214	218
Gpr180	176	62	135	25	28	19	0	182	100
Gpr182	9	1	7	3	5	0	0	6	3
Gpr183	746	342	308	181	89	123	0	364	369
Gpr19	18	19	9	5	34	7	0	36	21
Gpr20	0	0	4	1	0	0	0	0	0
Gpr21	13	7	21	8	31	2	0	12	15
Gpr22	15	16	17	7	29	1	0	10	13
Gpr25	0	1	0	0	0	0	0	0	0
Gpr26	6	4	1	3	8	2	0	2	2
Gpr27	0	1	0	0	0	0	0	0	2
Gpr3	6	3	0	1	3	0	0	4	0
Gpr31b	0	1	1	0	0	0	0	0	2
Gpr33	0	3	0	0	0	0	0	0	1
Gpr34	128	29	33	33	20	13	0	53	445
Gpr35	2195	568	1618	473	1422	364	0	1318	1508
Gpr37	1	3	0	4	0	0	0	5	0
Gpr37l1	3	1	2	1	0	0	0	0	1
Gpr39	1	0	0	0	0	0	0	2	0
Gpr4	2	3	0	1	2	0	0	4	0
Gpr45	15	5	5	0	5	1	0	9	6
Gpr50	0	0	0	0	6	0	0	0	0
Gpr55	1	0	1	1	1	0	0	2	7
Gpr6	0	0	0	0	0	0	0	0	0
Gpr61	1	0	4	0	1	0	0	2	1
Gpr62	0	0	2	1	0	0	0	0	0
Gpr63	0	4	0	0	3	0	0	2	9
Gpr65	454	208	304	120	184	80	0	547	684
Gpr68	27	11	8	2	21	3	0	24	59
Gpr75	2	2	3	0	3	2	0	2	2
Gpr82	21	8	18	19	35	15	0	40	59
Gpr83	46	12	1	1	0	2	0	69	6
Gpr84	23	12	6	10	5	3	0	25	78
Gpr85	26	10	0	4	0	4	0	4	68
Gpr87	1	0	2	0	0	1	0	7	1
Gpr88	2	0	1	1	0	0	0	0	2
Gpr89	118	41	88	24	87	14	0	127	116
Gprasp1	94	40	82	14	67	10	0	53	85
Gprasp2	0	4	0	0	0	0	0	0	4
Gprc5a	6	7	5	1	6	0	0	1	7
Gprc5b	1	1	3	2	0	0	0	3	7
Gprc5c	20	9	26	11	38	11	0	128	43
Gprc5d	0	0	0	1	6	0	0	0	7
Gprc6a	15	1	2	0	5	0	0	0	4
Gprin1	0	0	0	0	0	1	0	0	0
Gprin2	0	3	0	5	13	2	0	4	0
Gprin3	66	38	47	28	7	7	0	40	12
Gps1	194	116	221	57	193	43	0	194	213
Gps2	456	160	468	66	202	63	0	298	280
Gpsm1	21	18	28	5	30	6	0	22	33
Gpsm2	87	62	91	20	29	19	0	45	51
Gpsm3	99	37	69	17	48	11	0	95	55
Gpt	30	14	16	3	2	1	0	8	18
Gpt2	59	29	19	7	4	6	0	24	137
Gpx1	9117	3459	7978	1895	6363	1543	0	6839	6746
Gpx2	0	0	0	0	0	3	0	0	7
Gpx3	63	34	80	12	31	11	0	91	179
Gpx4	379	156	417	91	122	73	0	425	237
Gpx5	1	3	6	0	1	0	0	0	4
Gpx6	2	0	3	0	3	0	0	1	3
Gpx7	2	1	0	0	1	0	0	0	5
Gpx8	13	9	0	1	9	4	0	8	0
Gramd1a	798	285	587	96	126	50	0	269	310
Gramd1b	145	61	103	36	120	19	0	122	183
Gramd1c	11	10	1	10	9	8	0	12	14
Gramd2	9	0	7	2	2	0	0	6	0
Gramd3	108	69	170	48	3	37	0	74	39
Gramd4	519	215	460	165	445	118	0	327	274
Grap	48	19	39	9	22	5	0	62	61
Grap2	10	7	0	1	11	1	0	11	33
Grasp	9	6	10	0	2	0	0	4	5
Grb10	4	7	5	2	9	1	0	7	14
Grb14	38	24	25	4	3	3	0	7	15
Grb2	340	137	280	97	292	48	0	285	369
Grb7	2	2	2	0	5	0	0	0	2
Grcc10	32	4	22	13	26	4	0	30	13
Greb1	6	11	7	4	17	3	0	12	13
Greb1l	36	18	16	9	30	3	0	21	33
Grem1	0	0	4	0	0	1	0	0	7
Grem2	4	3	0	2	2	3	0	3	3
Grhl1	24	11	25	2	5	1	0	14	29
Grhl2	9	5	6	0	1	1	0	6	8
Grhl3	1	2	0	3	2	0	0	1	0
Grhpr	34	19	13	9	13	4	0	29	61
Gria1	2	6	4	7	2	1	0	0	9
Gria2	6	12	7	4	35	3	0	3	9
Gria3	77	27	40	5	11	10	0	26	5
Gria4	12	9	0	2	8	0	0	12	25
Grid1	4	12	3	1	1	5	0	16	20
Grid2	14	25	7	5	18	11	0	22	34
Grid2ip	1	1	1	7	3	0	0	2	6
Grifin	1	2	0	0	0	0	0	2	0
Grik1	7	6	2	3	12	5	0	7	3
Grik2	7	6	8	2	19	0	0	11	10
Grik3	9	5	5	0	6	2	0	3	3
Grik4	6	5	1	4	3	1	0	1	16
Grik5	4	4	8	0	5	0	0	11	1
Grin1	3	3	3	1	2	0	0	2	3
Grin2a	14	15	8	0	11	3	0	13	10
Grin2b	7	13	9	2	18	2	0	7	17
Grin2c	2	2	7	0	3	0	0	2	0
Grin2d	2	1	0	0	0	1	0	2	0
Grin3a	32	7	6	2	13	4	0	21	33
Grin3b	5	17	8	3	4	10	0	1	1
Grina	1215	375	754	171	479	174	0	1433	1060
Grip1	17	6	9	7	14	1	0	5	12
Grip2	14	10	18	6	14	1	0	13	8
Gripap1	455	166	396	110	367	86	0	344	438
Grk1	3	3	0	0	8	3	0	10	1
Grk2	1167	539	965	288	849	188	0	850	883
Grk3	1395	640	1005	540	3776	379	0	926	2594
Grk4	33	11	37	7	12	7	0	22	25
Grk5	301	127	301	106	335	69	0	295	329
Grk6	360	88	379	47	203	35	0	264	237
Grm1	10	1	3	4	10	2	0	0	7
Grm2	2	4	1	0	0	1	0	0	7
Grm3	3	1	0	1	14	0	0	1	6
Grm4	3	0	0	2	1	0	0	4	1
Grm5	15	7	8	11	11	2	0	7	24
Grm6	6	6	2	5	0	0	0	3	0
Grm7	2	2	3	1	23	1	0	2	0
Grm8	6	8	7	7	8	4	0	3	14
Grn	5213	2308	4678	1140	1439	959	0	4102	7162
Grp	1	0	0	1	0	0	0	0	1
Grpel1	451	171	445	92	222	76	0	416	343
Grpel2	192	79	95	39	72	27	0	111	121
Grpr	1	0	2	0	0	0	0	0	2
Grrp1	0	2	0	0	0	0	0	0	1
Grsf1	559	206	346	57	85	19	0	132	68
Grtp1	60	12	43	8	15	15	0	35	16
Grwd1	59	20	58	14	42	5	0	72	82
Grxcr1	0	2	2	0	0	1	0	0	4
Grxcr2	1	2	0	0	0	0	0	1	1
Gsap	2189	852	1511	531	2460	373	0	1389	2552
Gsc	1	0	1	0	0	0	0	0	0
Gsc2	0	0	0	0	0	0	0	0	0
Gsdma	0	2	12	0	8	0	0	1	12
Gsdma2	3	8	0	1	2	0	0	2	2
Gsdma3	4	3	4	2	3	0	0	3	2
Gsdmc	2	3	2	0	0	0	0	0	3
Gsdmc2	0	0	2	0	0	0	0	0	2
Gsdmc3	3	0	2	0	6	0	0	1	6
Gsdmc4	3	0	0	1	2	0	0	11	2
Gsdmd	2119	806	1573	469	1446	374	0	1792	1538
Gsdme	661	319	462	214	355	155	0	461	374
Gse1	89	24	72	11	30	20	0	41	69
Gsg1	7	3	1	1	1	0	0	1	23
Gsg1l	6	2	3	0	2	1	0	0	5
Gsg1l2	0	2	4	2	0	0	0	1	2
Gsk3a	28	5	40	8	27	7	0	26	15
Gsk3b	974	351	971	333	769	201	0	779	746
Gskip	291	119	300	89	158	54	0	275	279
Gsn	1768	719	1077	306	286	263	0	1342	1731
Gspt1	119	44	73	27	73	22	0	102	122
Gspt2	45	12	57	15	15	11	0	67	12
Gsr	5768	1484	4514	776	1160	469	0	4653	1192
Gss	174	59	217	49	290	39	0	169	155
Gsta1	0	0	0	0	0	0	0	0	0
Gsta2	3	2	1	0	3	1	0	4	6
Gsta3	9	8	4	3	16	3	0	3	13
Gsta4	2	3	0	0	2	0	0	0	0
Gstcd	31	22	25	14	66	8	0	29	104
Gstk1	61	14	36	6	11	3	0	11	34
Gstm1	706	337	865	195	222	145	0	254	418
Gstm2	0	4	3	0	0	2	0	0	2
Gstm3	4	1	6	0	1	0	0	0	4
Gstm4	74	32	45	10	24	12	0	51	68
Gstm5	7	1	3	1	5	2	0	8	20
Gstm6	4	2	2	0	2	1	0	2	0
Gstm7	1	12	5	0	0	1	0	2	3
Gsto1	947	449	1006	323	537	189	0	921	997
Gsto2	9	6	1	1	3	1	0	10	2
Gstp1	229	96	187	37	87	29	0	126	143
Gstp2	4	3	1	0	0	0	0	0	3
Gstp3	4	2	2	2	0	1	0	1	0
Gstt1	0	1	0	0	0	0	0	6	12
Gstt2	35	26	24	4	8	3	0	12	37
Gstt3	12	4	4	11	34	1	0	17	31
Gstt4	2	0	1	0	1	0	0	0	2
Gstz1	72	38	88	19	33	10	0	80	69
Gsx1	0	0	0	0	0	0	0	0	0
Gsx2	0	1	0	0	0	0	0	0	0
Gtdc1	94	34	77	18	70	12	0	78	79
Gtf2a1	536	235	476	167	678	177	0	619	708
Gtf2a1l	2	7	3	2	1	0	0	3	3
Gtf2a2	453	200	320	135	255	75	0	451	315
Gtf2b	473	172	456	137	317	92	0	449	454
Gtf2e1	202	78	122	78	179	34	0	166	273
Gtf2e2	304	165	360	79	132	61	0	209	279
Gtf2f1	392	138	286	102	198	75	0	456	384
Gtf2f2	222	108	220	65	123	68	0	198	193
Gtf2h1	368	162	293	141	248	79	0	424	321
Gtf2h2	162	52	185	32	152	26	0	125	414
Gtf2h3	148	63	111	24	156	20	0	62	109
Gtf2h4	102	56	108	26	50	14	0	63	94
Gtf2h5	263	95	194	75	130	41	0	239	213
Gtf2i	294	87	236	60	117	38	0	157	224
Gtf2ird1	16	9	34	4	12	0	0	12	28
Gtf2ird2	121	46	99	32	67	25	0	118	144
Gtf3a	24	21	50	10	17	3	0	28	18
Gtf3c1	439	221	342	90	248	76	0	371	389
Gtf3c2	295	132	201	76	173	53	0	228	239
Gtf3c3	287	136	252	76	208	91	0	199	226
Gtf3c4	86	27	53	21	31	7	0	67	75
Gtf3c5	147	57	108	32	44	22	0	103	176
Gtf3c6	321	152	277	81	163	55	0	289	268
Gtpbp1	319	153	397	75	187	58	0	257	250
Gtpbp10	49	22	50	21	47	5	0	56	49
Gtpbp2	248	97	176	60	196	28	0	179	337
Gtpbp3	132	46	96	14	53	14	0	79	113
Gtpbp4	526	242	467	137	458	95	0	474	599
Gtpbp6	27	17	30	5	16	3	0	25	14
Gtpbp8	190	104	137	41	58	29	0	181	89
Gtse1	3	1	3	1	3	7	0	9	37
Gtsf1	1	5	8	2	5	2	0	4	4
Gtsf1l	1	0	0	3	0	0	0	0	0
Guca1a	84	27	80	10	36	9	0	67	55
Guca1b	11	5	9	0	20	9	0	3	5
Guca2a	1	0	0	0	0	0	0	0	0
Guca2b	2	0	5	0	0	0	0	1	0
Gucd1	1155	456	931	289	569	196	0	797	526
Gucy1a1	1	11	4	3	16	2	0	10	26
Gucy1a2	0	7	4	1	2	3	0	3	4
Gucy1b1	6	4	2	1	9	3	0	24	8
Gucy1b2	5	0	3	1	3	2	0	3	2
Gucy2c	65	11	12	10	33	7	0	12	13
Gucy2d	1	5	1	0	3	0	0	6	4
Gucy2e	5	4	1	4	16	0	0	1	2
Gucy2f	8	6	1	1	6	2	0	11	4
Gucy2g	2	2	8	2	5	4	0	2	2
Guf1	139	76	136	35	49	8	0	91	76
Guk1	199	119	196	57	157	38	0	237	281
Gulo	0	4	1	1	1	1	0	0	3
Gulp1	8	1	1	0	2	0	0	1	10
Gusb	2161	788	1444	459	813	311	0	1845	2622
Gvin1	49	21	37	14	33	11	0	31	26
Gxylt1	247	108	198	79	205	51	0	329	174
Gxylt2	2	13	20	2	22	1	0	2	7
Gyg	1790	758	1899	501	732	293	0	2291	1138
Gykl1	0	5	0	0	0	0	0	1	1
Gypa	1	1	1	1	3	0	0	3	1
Gypc	241	110	188	21	56	33	0	256	72
Gys1	111	17	103	18	21	13	0	88	157
Gys2	5	6	2	4	2	2	0	5	5
Gzf1	277	147	129	46	188	31	0	184	208
Gzma	1923	575	224	397	559	349	0	993	0
Gzmb	364	163	67	82	89	110	0	256	5
Gzmc	0	2	0	0	5	0	0	0	2
Gzmd	0	0	0	1	0	1	0	2	0
Gzme	0	1	1	0	0	0	0	0	0
Gzmf	3	1	1	0	2	0	0	0	3
Gzmg	0	0	0	0	1	3	0	2	0
Gzmk	1	1	0	2	1	0	0	0	4
Gzmm	13	3	15	2	6	6	0	7	0
Gzmn	0	4	0	0	1	0	0	0	4
H13	1321	676	1320	420	605	284	0	1434	970
H1f0	736	254	382	40	63	29	0	417	91
H1fnt	2	0	2	1	3	0	0	2	1
H1foo	3	2	2	0	2	4	0	1	0
H1fx	0	0	0	0	0	0	0	0	0
H2-Aa	7418	2183	2487	1438	1573	991	0	7669	29310
H2-Ab1	10932	2604	3455	1997	2184	1328	0	9542	40845
H2-D1	22669	10560	18290	5592	21489	4582	1	19467	24194
H2-DMa	2841	1074	2283	611	327	522	0	2348	3422
H2-DMb1	957	325	543	172	146	134	0	839	1388
H2-DMb2	68	23	41	9	20	5	0	70	220
H2-Eb1	3138	775	724	499	851	284	0	2783	21072
H2-Eb2	2	1	3	3	7	0	0	3	2
H2-K1	10944	4915	8976	2763	13870	2165	1	8890	14056
H2-Ke6	4	1	0	1	1	0	0	2	0
H2-M1	1	3	1	1	1	0	0	8	16
H2-M10.1	0	1	7	0	2	1	0	2	2
H2-M10.2	3	1	2	0	0	0	0	1	3
H2-M10.3	0	0	0	0	0	0	0	0	0
H2-M10.4	3	0	1	0	5	0	0	1	3
H2-M10.5	2	4	0	0	0	0	0	0	3
H2-M10.6	6	0	1	0	3	0	0	1	5
H2-M11	4	3	0	0	2	0	0	2	11
H2-M2	0	2	1	0	0	0	0	1	406
H2-M3	698	262	562	126	431	121	0	537	632
H2-M5	8	0	0	0	4	0	0	6	1
H2-M9	0	11	1	1	11	0	0	1	0
H2-Oa	4	0	9	1	35	0	0	2	52
H2-Ob	98	14	48	8	50	7	0	47	127
H2-Q1	1	3	3	0	1	0	0	1	6
H2-Q10	14	8	13	1	6	4	0	190	9
H2-Q2	3	4	3	0	5	0	0	4	6
H2-Q4	77	23	46	18	97	11	0	58	84
H2-Q6	214	71	64	32	939	40	0	91	527
H2-Q7	219	49	64	34	518	29	0	67	376
H2-T22	440	212	425	113	253	86	0	367	252
H2-T23	3018	1532	3407	859	1864	784	0	3214	2151
H2-T24	879	474	864	194	307	239	0	392	261
H2-T3	10	3	4	0	5	0	0	5	5
H2afb1	0	1	0	0	0	0	0	0	0
H2afb2	0	0	0	0	0	1	0	0	0
H2afb3	0	0	0	0	1	0	0	0	0
H2afj	440	197	477	110	285	72	0	388	199
H2afv	204	120	224	47	154	51	0	117	228
H2afx	78	29	62	26	61	16	0	77	124
H2afy	501	179	594	168	370	73	0	358	339
H2afy2	5	1	2	0	1	1	0	2	4
H2afz	1127	470	992	282	263	192	0	859	632
H2al1a	0	0	0	0	0	0	0	0	0
H2al1b	0	0	0	0	0	0	0	0	0
H2al1c	0	0	0	0	0	0	0	0	0
H2al1d	0	0	0	0	0	0	0	0	0
H2al1e	0	0	0	0	0	0	0	0	0
H2al1f	0	0	0	0	0	0	0	0	0
H2al1g	0	0	0	0	0	0	0	0	0
H2al1h	0	0	0	0	0	0	0	0	0
H2al1i	0	0	0	0	0	0	0	0	0
H2al1j	0	1	0	0	2	0	0	0	0
H2al1k	0	0	0	0	0	0	0	0	1
H2al1m	0	0	0	0	0	0	0	0	0
H2al1n	0	0	0	0	0	0	0	0	0
H2al1o	0	0	2	0	0	0	0	0	0
H2al2b	0	0	0	0	0	0	0	0	0
H2al2c	0	0	0	0	0	0	0	0	0
H2al3	0	0	0	0	0	0	0	2	0
H2bfm	0	0	0	0	0	0	0	0	0
H3f3a	319	188	316	134	191	67	0	297	223
H3f3b	5155	2014	3598	1077	1761	916	0	4934	4798
H60b	151	86	196	44	160	22	0	159	151
H60c	1	4	0	3	5	0	0	1	0
H6pd	611	208	451	63	126	39	0	244	189
Haao	281	138	380	90	316	98	0	114	192
Habp2	7	0	14	2	1	0	0	4	14
Habp4	62	40	61	6	21	3	0	34	41
Hacd1	16	17	13	1	2	3	0	6	17
Hacd2	207	71	126	33	28	29	0	130	118
Hacd3	449	165	254	102	107	35	0	294	335
Hacd4	2156	1127	2051	649	430	427	0	1090	978
Hace1	155	92	90	43	58	35	0	88	92
Hacl1	3	4	1	3	8	0	0	2	11
Hadh	276	163	322	77	90	69	0	264	234
Hadha	827	364	797	192	332	163	0	664	799
Hadhb	210	135	191	80	154	57	0	216	251
Hagh	297	125	343	78	105	62	0	390	267
Haghl	142	48	118	20	103	18	0	144	108
Hal	47	16	20	2	19	1	0	20	10
Hamp	6	0	0	2	1	0	0	2	2
Hamp2	0	0	0	0	2	1	0	0	0
Hand1	0	1	0	0	0	1	0	0	1
Hand2	0	0	0	0	0	0	0	0	0
Hao1	1	1	6	1	0	2	0	4	0
Hao2	3	2	1	1	0	0	0	0	1
Hap1	1	3	11	4	5	5	0	2	22
Hapln1	1	3	0	5	6	4	0	4	6
Hapln2	1	3	0	0	0	0	0	0	3
Hapln3	6	2	6	3	0	0	0	0	0
Hapln4	2	0	0	0	2	0	0	1	2
Harbi1	102	44	73	16	80	21	0	40	82
Hars	358	138	261	102	169	73	0	407	346
Hars2	239	157	214	99	128	44	0	195	192
Has1	0	0	0	0	3	0	0	2	0
Has2	0	0	0	2	0	0	0	0	0
Has3	3	1	0	0	12	0	0	10	11
Haspin	52	18	39	1	39	4	0	40	47
Hat1	300	152	224	68	281	50	0	343	465
Haus1	45	33	31	10	32	12	0	17	75
Haus2	132	45	121	32	92	19	0	170	109
Haus3	94	40	94	36	117	20	0	97	175
Haus4	85	42	74	28	97	21	0	86	98
Haus5	17	5	22	2	46	6	0	20	39
Haus6	71	40	77	55	138	18	0	138	150
Haus7	65	23	40	9	44	11	0	80	97
Haus8	268	142	267	65	186	70	0	187	330
Havcr1	2	3	4	1	3	0	0	2	13
Havcr2	527	221	311	199	882	106	0	631	1327
Hax1	78	49	82	22	66	13	0	102	92
Hba-a1	3	0	1	10	3	1	0	5	1
Hba-a2	0	0	0	4	0	0	0	0	0
Hba-x	2	4	0	3	1	0	0	0	1
Hbb-bh1	2	1	1	1	0	0	0	0	1
Hbb-bh2	0	2	0	0	0	0	0	0	0
Hbb-bs	4	0	6	37	3	0	0	4	11
Hbb-bt	1	0	0	4	1	1	0	0	2
Hbb-y	0	2	0	0	4	0	0	0	0
Hbegf	5	1	0	0	2	0	0	1	16
Hbp1	468	232	572	151	350	119	0	523	440
Hbq1a	1	0	0	0	0	0	0	4	0
Hbq1b	1	0	0	0	0	0	0	0	3
Hbs1l	267	95	227	72	111	41	0	296	235
Hc	10	3	2	2	19	1	0	4	15
Hcar1	2	0	0	1	0	0	0	0	2
Hcar2	15	5	0	1	0	0	0	18	241
Hccs	296	144	237	63	66	18	0	140	131
Hcfc1	1962	736	1779	503	1029	320	0	1592	1205
Hcfc1r1	233	102	250	54	118	30	0	207	221
Hcfc2	104	43	100	35	214	14	0	121	131
Hck	5328	2084	3849	1126	3461	920	0	2764	3548
Hcls1	2450	900	1918	539	1781	443	0	1971	2270
Hcn1	16	21	3	11	19	4	0	18	22
Hcn2	1	3	2	0	0	1	0	0	1
Hcn3	0	1	1	0	0	0	0	0	0
Hcn4	6	1	0	2	3	1	0	2	5
Hcrt	0	1	0	0	0	0	0	0	0
Hcrtr1	4	0	3	1	0	0	0	0	4
Hcrtr2	6	3	0	0	10	0	0	1	0
Hcst	129	45	147	50	112	21	0	168	111
Hdac1	281	93	222	60	137	34	0	189	193
Hdac10	234	68	155	45	181	44	0	107	135
Hdac11	7	0	1	0	1	0	0	0	5
Hdac2	279	82	197	37	75	22	0	60	91
Hdac3	400	104	338	116	282	65	0	381	451
Hdac4	579	180	383	145	407	74	0	449	376
Hdac5	842	392	773	231	291	160	0	486	476
