	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
Ndufb9	159	245	81	118	144	243	187	198
Ndufc1	125	143	85	75	127	160	136	129
Ndufc2	330	386	207	222	270	449	280	307
Ndufs1	610	588	352	374	472	497	573	647
Ndufs2	966	1107	709	763	969	875	1040	1120
Ndufs3	39	47	32	47	55	56	62	66
Ndufs4	349	371	198	229	283	440	306	330
Ndufs5	57	76	37	40	53	69	42	49
Ndufs6	108	151	102	97	114	203	113	90
Ndufs7	428	494	297	339	388	591	437	460
Ndufs8	630	735	450	506	575	1009	703	797
Ndufv1	479	626	297	393	494	686	650	643
Ndufv2	653	766	506	501	646	846	815	839
Ndufv3	197	242	134	121	155	276	256	225
Neb	15	50	27	15	60	14	18	30
Nebl	15	10	8	13	15	8	19	11
Necab1	3	8	3	4	5	0	9	3
Necab2	2	1	0	1	0	0	1	0
Necab3	5	21	1	3	3	3	4	8
Necap1	422	429	318	377	398	504	460	472
Necap2	1054	1258	829	825	1106	1357	1332	1463
Nectin1	52	64	31	25	48	43	20	40
Nectin2	11	5	3	1	6	18	18	36
Nectin3	12	12	3	5	14	3	13	12
Nectin4	102	97	70	91	87	67	85	105
Nedd1	104	147	92	107	145	80	140	123
Nedd4	22	104	11	26	28	39	46	33
Nedd4l	185	180	78	83	139	104	95	164
Nedd8	618	795	370	451	588	891	604	775
Nedd9	1281	1947	1128	1310	1701	788	1105	1277
Nefh	1	1	0	0	1	1	1	0
Nefl	0	1	0	0	0	1	2	0
Nefm	0	0	0	1	3	0	1	0
Negr1	7	19	5	11	23	1	9	6
Neil1	89	93	63	57	65	63	67	98
Neil2	4	9	0	2	0	0	1	3
Neil3	3	11	6	20	5	23	8	18
Nek1	75	63	41	37	38	49	55	68
Nek10	21	23	11	6	13	4	11	8
Nek11	4	0	4	4	9	8	2	5
Nek2	0	0	0	0	0	0	0	0
Nek3	17	42	19	25	22	26	27	26
Nek4	94	63	44	46	81	38	61	68
Nek5	3	6	2	3	5	2	1	4
Nek6	56	142	30	49	133	99	296	230
Nek7	368	644	318	328	541	273	339	379
Nek8	27	30	30	14	26	48	40	30
Nek9	303	398	200	238	302	241	263	343
Nelfa	415	499	258	319	439	343	328	354
Nelfb	745	828	463	516	614	600	670	807
Nelfcd	440	424	260	275	358	353	445	360
Nelfe	160	179	102	121	184	252	205	207
Nell1	15	15	4	1	8	1	2	4
Nell2	6	6	1	3	8	2	4	2
Nemf	623	720	387	530	649	854	674	780
Nemp1	73	48	45	52	68	43	75	93
Nemp2	272	252	100	168	208	83	193	186
Nenf	56	56	36	26	43	75	48	34
Neo1	13	4	5	10	17	14	6	8
Nepn	0	1	0	0	0	6	0	0
Nepro	121	166	105	92	111	79	167	170
Nes	10	6	3	4	0	8	2	16
Net1	44	210	36	36	70	43	146	73
Neto1	2	2	2	0	2	2	0	4
Neto2	20	1	2	1	8	2	1	12
Neu1	613	588	490	418	571	718	738	734
Neu2	0	2	1	2	5	2	2	1
Neu3	12	4	8	6	19	27	17	12
Neu4	0	3	1	4	5	0	6	0
Neurl1a	2	7	0	0	9	0	2	7
Neurl1b	25	29	32	10	20	18	11	26
Neurl2	34	27	19	18	30	30	29	39
Neurl3	777	546	691	515	520	801	717	899
Neurl4	87	106	71	35	85	49	87	95
Neurod1	3	3	1	0	6	0	1	0
Neurod2	0	0	0	0	0	0	0	1
Neurod4	0	6	0	0	0	0	0	0
Neurod6	0	0	1	0	2	0	1	2
Neurog1	2	0	0	0	0	0	0	0
Neurog2	0	0	0	0	0	0	0	0
Neurog3	0	4	0	0	0	0	0	0
Nexmif	0	3	1	5	1	0	2	1
Nexn	8	7	2	9	4	1	5	8
Nf1	208	251	144	161	184	147	228	228
Nf2	243	236	131	108	222	148	244	263
Nfam1	6133	6408	3872	4419	5537	4075	4556	5655
Nfasc	16	9	2	3	9	11	12	9
Nfat5	417	531	284	308	432	297	368	454
Nfatc1	647	791	517	487	619	704	407	553
Nfatc2	207	248	95	110	203	67	112	160
Nfatc2ip	24	44	17	13	13	8	13	36
Nfatc3	273	429	196	231	278	218	223	256
Nfatc4	0	3	0	0	3	0	0	0
Nfe2	710	914	507	595	480	402	460	425
Nfe2l1	304	368	246	250	358	169	323	333
Nfe2l2	1438	1629	1236	1203	1728	3114	1347	2026
Nfe2l3	10	9	2	6	8	1	10	5
Nfia	63	102	61	42	90	76	98	65
Nfib	12	24	6	17	29	39	24	22
Nfic	271	313	203	209	213	223	271	304
Nfil3	562	364	269	314	378	2356	826	761
Nfix	39	46	41	46	52	39	56	44
Nfkb1	1250	1670	959	1073	1509	1273	816	1061
Nfkb2	768	978	620	567	767	868	536	766
Nfkbia	1359	1280	975	966	1432	9802	1474	1688
Nfkbib	296	298	206	245	302	478	296	320
Nfkbid	322	317	184	189	241	887	229	222
Nfkbie	304	475	228	337	466	625	176	391
Nfkbil1	32	53	26	29	33	30	37	37
Nfkbiz	715	799	364	424	411	4801	392	392
Nfrkb	212	277	191	160	225	106	236	202
Nfs1	214	258	144	151	185	246	221	251
Nfu1	275	385	174	194	288	335	217	240
Nfx1	456	517	326	399	532	393	584	560
Nfxl1	58	110	34	70	96	57	71	82
Nfya	107	102	54	65	100	113	72	110
Nfyb	149	184	109	92	154	189	208	206
Nfyc	181	179	121	134	142	240	146	183
Ngb	0	0	8	0	1	0	2	0
Ngdn	261	358	229	236	291	506	306	325
Ngef	4	2	1	6	2	0	0	2
Ngf	1	0	0	0	2	0	0	1
Ngfr	14	4	9	0	2	3	5	1
Ngly1	545	536	331	428	497	532	503	624
Ngp	7	9	0	3	7	4	1	1
Ngrn	186	177	81	95	153	141	136	167
Nhej1	45	16	28	22	45	45	35	25
Nhlh1	0	0	0	0	0	0	0	1
Nhlh2	2	1	1	1	1	3	0	1
Nhlrc1	7	3	2	0	8	0	2	10
Nhlrc2	280	351	221	254	233	319	329	287
Nhlrc3	279	343	224	171	237	137	288	351
Nhlrc4	0	0	0	0	0	0	0	0
Nhp2	216	308	116	159	223	348	333	279
Nhs	6	1	4	1	1	0	6	3
Nhsl1	7	7	7	5	6	4	1	16
Nhsl2	1325	1404	1084	946	1047	1046	1086	1117
Nicn1	21	10	6	13	11	11	18	30
Nid1	7	14	5	5	32	15	8	9
Nid2	18	42	30	8	24	14	36	41
Nif3l1	117	111	53	67	88	98	112	118
Nifk	272	370	202	241	341	315	293	284
Nim1k	52	29	25	31	28	37	63	26
Nin	716	990	591	552	752	556	712	743
Ninj1	453	499	585	468	562	917	1149	905
Ninj2	0	2	2	1	1	0	2	0
Ninl	11	10	2	5	3	2	3	3
Nip7	185	213	152	165	203	232	260	269
Nipa1	3	3	2	1	1	2	0	1
Nipa2	420	365	296	303	409	432	796	711
Nipal1	2	1	3	0	10	1	2	3
Nipal2	2	4	2	2	6	1	7	2
Nipal3	56	92	45	59	53	32	28	59
Nipal4	7	5	0	0	6	0	4	0
Nipbl	1000	1303	697	753	1006	1233	885	982
Nipsnap1	29	32	22	15	9	9	52	35
Nipsnap2	264	281	169	172	198	233	286	191
Nipsnap3a	0	0	1	0	1	0	0	0
Nipsnap3b	385	427	337	296	388	659	495	502
Nisch	1142	1119	671	735	944	1070	1385	1404
Nit1	109	149	63	64	82	85	94	127
Nit2	135	153	53	57	97	159	135	120
Nkain1	0	0	0	0	0	0	0	0
Nkain2	5	8	0	2	12	0	2	3
Nkain3	5	2	1	5	13	0	3	10
Nkain4	4	6	1	4	2	0	0	0
Nkap	132	164	113	101	133	95	141	191
Nkapl	9	1	4	4	1	2	5	1
Nkd1	2	10	5	10	6	15	14	2
Nkd2	13	0	4	1	2	1	2	11
Nkg7	0	88	0	0	5	8	0	0
Nkiras1	59	46	40	31	36	35	75	66
Nkiras2	1155	1285	812	959	1146	951	927	949
Nkpd1	0	2	0	1	1	0	1	0
Nkrf	4	18	10	2	11	20	9	12
Nktr	695	836	486	540	695	696	977	896
Nkx1-1	0	0	0	0	0	0	0	0
Nkx1-2	0	1	0	2	0	0	0	0
Nkx2-1	2	1	1	0	0	0	1	0
Nkx2-2	0	4	0	0	0	0	0	0
Nkx2-3	0	1	0	0	1	0	0	0
Nkx2-4	0	0	0	0	2	0	0	0
Nkx2-5	0	0	0	0	0	0	0	0
Nkx2-6	1	0	0	0	1	0	0	0
Nkx2-9	0	0	0	0	0	0	0	0
Nkx3-1	0	0	0	1	4	0	0	0
Nkx3-2	0	0	0	0	0	0	0	0
Nkx6-1	0	0	0	0	2	0	0	0
Nkx6-2	0	0	1	0	1	2	1	0
Nkx6-3	0	1	0	0	1	0	1	0
Nle1	40	36	24	13	35	23	55	61
Nlgn1	10	4	5	23	18	1	10	30
Nlgn2	7	5	4	1	3	5	1	1
Nlgn3	0	1	0	1	2	1	0	0
Nlk	84	88	53	55	54	58	76	79
Nln	258	320	207	250	338	300	379	388
Nlrc3	10	19	6	14	19	15	53	21
Nlrc4	198	263	145	174	224	126	205	258
Nlrc5	506	805	478	470	651	427	675	606
Nlrp10	37	26	10	12	21	6	36	24
Nlrp12	1	0	0	0	0	1	1	0
Nlrp14	5	3	11	2	6	3	2	3
Nlrp1a	350	333	148	187	219	144	150	214
Nlrp1b	311	357	183	241	296	262	237	366
Nlrp2	4	6	0	1	3	1	3	3
Nlrp3	284	288	124	186	178	690	313	384
Nlrp4a	8	1	5	1	3	3	0	6
Nlrp4b	7	10	4	0	8	4	8	5
Nlrp4c	14	0	1	1	5	0	3	2
Nlrp4e	1	5	6	2	5	0	6	6
Nlrp4f	2	3	3	0	4	5	1	9
Nlrp5	8	2	7	6	7	3	3	2
Nlrp6	2	3	0	0	0	2	6	1
Nlrp9a	12	3	9	6	4	0	3	11
Nlrp9b	6	5	3	2	5	6	0	8
Nlrp9c	5	2	3	2	4	3	3	0
Nlrx1	248	254	127	126	147	211	241	281
Nmb	3	11	4	2	9	3	10	5
Nmbr	1	4	5	3	3	1	1	0
Nmd3	285	340	198	270	287	296	366	281
Nme1	244	206	121	137	169	335	271	240
Nme2	6	12	2	4	11	13	13	7
Nme3	0	0	0	0	0	0	0	0
Nme4	3	6	4	1	7	13	13	6
Nme5	3	3	2	1	6	1	0	2
Nme6	8	21	19	6	11	27	24	26
Nme7	35	50	44	26	51	37	37	27
Nme8	1	0	2	4	7	2	2	8
Nme9	0	0	0	0	6	0	0	0
Nmi	329	373	212	208	340	377	271	324
Nmnat1	30	32	29	13	18	27	21	24
Nmnat2	5	13	2	1	5	0	7	2
Nmnat3	53	33	32	34	58	67	53	53
Nmral1	72	112	60	62	114	113	67	116
Nmrk1	61	55	28	24	65	73	69	50
Nmrk2	0	1	1	0	0	4	4	1
Nms	2	1	0	1	3	1	1	0
Nmt1	763	910	530	605	822	792	899	1011
Nmt2	273	346	110	153	216	294	265	243
Nmu	0	2	2	4	1	0	1	0
Nmur1	1	0	0	0	0	0	0	2
Nmur2	4	0	0	3	1	0	3	0
Nnat	11	18	6	5	6	5	10	11
Nnmt	14	2	1	3	5	13	10	6
Nnt	194	193	210	143	194	105	145	203
Noa1	201	154	94	153	112	151	183	202
Nob1	127	178	103	145	147	191	179	190
Nobox	8	0	1	2	4	0	2	1
Noc2l	110	97	56	50	59	90	95	95
Noc3l	78	106	53	27	47	49	60	81
Noc4l	187	244	144	144	207	200	369	300
Noct	86	141	79	63	77	130	121	97
Nod1	861	1138	768	802	1139	620	666	1044
Nod2	150	175	129	123	178	397	151	252
Nodal	0	0	0	2	4	0	1	0
Nog	0	0	0	0	0	0	0	0
Nol10	76	72	54	40	74	124	61	112
Nol11	208	225	143	229	232	250	284	295
Nol12	150	163	77	95	134	227	145	167
Nol3	0	1	0	0	0	3	3	0
Nol4	6	4	4	0	7	0	0	4
Nol4l	50	33	11	16	39	42	43	63
Nol6	154	219	120	167	176	151	291	254
Nol7	274	365	210	161	288	314	349	285
Nol8	97	136	86	66	114	108	98	177
Nol9	230	332	177	88	267	133	237	185
Nolc1	190	198	126	105	154	207	244	251
Nom1	233	221	135	121	244	240	280	247
Nomo1	133	215	95	109	126	106	223	180
Nono	1120	1443	765	906	1174	1074	1010	1126
Nop10	359	438	216	235	325	448	254	295
Nop14	162	119	70	65	114	140	144	151
Nop16	161	163	101	125	181	270	258	216
Nop2	212	196	102	117	145	199	258	276
Nop53	1389	1846	1124	1210	1692	1802	1731	1732
Nop56	258	346	242	255	266	282	342	418
Nop58	190	222	158	160	248	294	378	381
Nop9	359	502	247	206	343	375	444	306
Nos1	8	7	1	5	4	3	2	4
Nos1ap	74	50	34	38	85	57	68	49
Nos2	1	3	4	0	4	0	8	2
Nos3	6	11	6	8	3	11	1	4
Nosip	227	308	193	211	332	230	289	280
Nostrin	65	143	72	84	130	105	100	133
Notch1	520	577	364	268	357	697	503	539
Notch2	3547	5015	2865	2858	3139	2613	2725	2772
Notch3	9	13	4	0	12	1	3	15
Notch4	8	37	7	4	10	17	10	23
Noto	0	0	0	0	2	0	0	0
Notum	0	3	0	0	0	0	4	0
Nov	0	5	0	0	3	0	0	4
Nova1	15	11	1	6	23	3	6	4
Nova2	0	1	3	0	1	0	0	0
Nox1	2	3	1	0	0	0	4	2
Nox3	4	2	2	4	2	1	1	2
Nox4	10	6	3	3	19	17	5	6
Noxa1	1	0	2	1	3	0	1	3
Noxo1	1	4	0	2	0	4	1	0
Noxred1	16	4	7	1	8	3	5	6
Npas1	4	2	3	1	13	1	5	8
Npas2	3	9	5	5	3	0	1	3
Npas3	5	5	4	0	5	2	3	4
Npas4	0	4	1	2	1	0	0	0
Npat	92	186	86	113	96	104	90	157
Npb	0	0	0	0	0	0	0	0
Npbwr1	4	1	0	0	8	1	3	2
Npc1	332	443	237	249	286	276	426	407
Npc1l1	6	13	4	12	3	0	9	8
Npc2	6114	8395	5930	5981	7372	8710	6964	7401
Npcd	0	0	0	0	0	0	0	0
Npdc1	1	11	7	4	4	2	13	8
Npepl1	193	225	132	113	130	171	113	129
Npepps	254	317	203	184	298	234	279	308
Npff	7	12	0	1	4	3	9	6
Npffr1	0	0	0	2	5	0	0	2
Npffr2	0	2	0	0	1	0	1	0
Nphp1	2	13	7	5	13	9	10	21
Nphp3	34	26	38	18	35	5	25	18
Nphp4	5	5	6	0	11	4	11	12
Nphs1	1	3	2	0	2	0	2	1
Nphs2	8	9	3	3	7	0	5	7
Npl	5	10	6	10	9	18	32	31
Nploc4	181	193	101	109	141	153	186	166
Npm1	930	1362	948	933	1239	1339	1234	1356
Npm2	5	2	0	0	0	3	1	1
Npm3	4	15	9	8	2	52	5	8
Npnt	12	6	2	5	0	21	8	10
Nppa	0	1	1	0	1	2	1	1
Nppb	0	0	2	0	1	0	0	3
Nppc	1	0	2	0	1	0	0	0
Npr1	4	1	5	2	8	3	4	5
Npr2	2	3	5	1	2	0	2	0
Npr3	4	11	2	3	10	3	5	1
Nprl2	159	193	71	95	118	139	91	151
Nprl3	98	238	66	84	104	97	147	164
Nps	0	3	0	0	1	0	4	0
Npsr1	1	3	2	0	7	0	0	7
Nptn	2123	2618	1836	1917	2629	2642	2450	2702
Nptx1	2	2	0	0	0	0	0	0
Nptx2	2	1	0	0	1	0	0	0
Nptxr	1	0	2	2	0	0	0	1
Npvf	0	0	1	0	0	0	0	0
Npw	5	0	0	0	0	0	0	0
Npy	0	0	0	0	2	0	4	3
Npy1r	10	1	8	0	7	0	4	5
Npy2r	5	1	0	3	12	5	2	1
Npy4r	0	3	3	0	0	0	3	0
Npy5r	4	1	0	0	2	0	2	0
Npy6r	1	1	0	1	4	1	1	3
Nqo1	2	2	0	5	12	2	0	0
Nqo2	261	232	185	219	173	216	188	234
Nr0b1	0	0	0	0	0	0	0	3
Nr0b2	0	2	0	0	2	0	2	1
Nr1d1	11	11	10	8	12	32	9	10
Nr1d2	77	139	137	120	240	73	45	96
Nr1h2	365	474	319	292	415	406	472	469
Nr1h3	49	86	68	76	112	182	82	128
Nr1h4	3	2	3	1	2	0	0	1
Nr1h5	7	0	0	0	3	1	2	9
Nr1i2	1	2	0	2	6	0	0	0
Nr1i3	6	10	3	0	1	1	1	0
Nr2c1	84	82	84	86	105	40	107	79
Nr2c2	278	268	235	245	255	292	247	291
Nr2c2ap	7	11	8	6	12	9	6	11
Nr2e1	0	3	0	1	1	1	3	1
Nr2e3	3	0	0	1	3	2	1	0
Nr2f1	1	0	2	1	2	1	4	4
Nr2f2	7	3	0	10	12	7	3	1
Nr2f6	6	9	7	2	7	5	4	5
Nr3c1	510	729	486	486	645	493	439	554
Nr3c2	2	10	1	6	8	0	1	1
Nr4a1	3043	4344	1778	2651	2016	12893	2004	1508
Nr4a2	3	7	6	8	10	272	77	65
Nr4a3	1	3	4	2	1	122	21	11
Nr5a1	1	0	0	0	2	1	0	1
Nr5a2	4	0	3	2	1	1	2	2
Nr6a1	5	24	13	16	17	13	23	9
Nradd	5	7	10	7	7	6	8	10
Nrap	4	6	2	2	14	0	0	4
Nrarp	0	1	1	0	1	0	0	0
Nras	910	1079	676	840	965	1024	1250	1246
Nrbf2	78	75	53	78	48	65	59	64
Nrbp1	1023	1371	769	984	1170	982	1274	1151
Nrbp2	7	0	1	2	4	0	6	4
Nrcam	2	9	4	5	10	3	8	13
Nrd1	1292	1287	726	826	1029	924	1228	1425
Nrde2	134	233	79	123	126	94	151	158
Nrep	7	15	2	5	4	5	2	7
Nrf1	347	427	245	296	407	358	402	448
Nrg1	87	32	31	26	69	139	275	174
Nrg2	7	5	4	1	1	2	2	7
Nrg3	2	9	6	7	5	2	6	11
Nrg4	9	8	3	6	7	4	15	2
Nrgn	2	1	0	0	1	0	0	0
Nrip1	73	132	68	103	100	147	212	144
Nrip2	4	21	10	3	10	3	12	8
Nrip3	0	1	3	11	5	9	0	4
Nrk	1	1	9	1	3	0	0	3
Nrl	3	3	1	0	4	2	0	2
Nrm	294	295	243	239	283	372	397	349
Nrn1	0	0	0	0	1	0	0	1
Nrn1l	0	0	1	0	0	0	0	0
Nrp1	1068	1399	763	1020	1293	740	1111	1032
Nrp2	63	80	46	70	93	167	185	170
Nrros	3560	3772	2256	2341	3047	4318	3208	3680
Nrsn1	2	5	0	0	10	2	2	3
Nrsn2	0	1	0	0	0	0	1	0
Nrtn	0	0	0	0	0	1	1	0
Nrxn1	17	9	13	8	22	5	9	9
Nrxn2	0	0	0	0	0	0	0	0
Nrxn3	18	21	4	10	16	6	5	13
Nsa2	149	197	108	136	167	102	159	151
Nsd1	1121	1196	726	751	1087	903	955	1108
Nsd2	145	181	96	102	168	152	242	240
Nsd3	1193	1442	912	881	1121	1105	879	1010
Nsdhl	134	192	66	115	98	123	108	113
Nsf	895	928	567	626	717	804	1096	1163
Nsfl1c	131	231	75	103	163	175	198	207
Nsg1	3	1	5	3	1	0	6	1
Nsg2	0	3	3	0	4	2	0	2
Nsl1	63	92	104	69	93	50	35	43
Nsmaf	347	634	297	257	441	355	278	380
Nsmce1	142	157	73	97	108	179	194	158
Nsmce2	226	280	181	154	208	346	271	266
Nsmce3	100	163	98	15	100	86	99	64
Nsmce4a	66	142	84	87	123	112	87	71
Nsmf	121	177	90	65	105	103	159	116
Nsrp1	205	172	77	139	172	192	161	190
Nsun2	479	690	381	204	490	408	667	406
Nsun3	143	153	73	116	136	78	171	219
Nsun4	153	142	117	94	169	145	175	212
Nsun5	42	79	35	32	74	83	42	67
Nsun6	64	58	44	45	53	72	57	48
Nsun7	4	1	1	2	10	0	2	1
Nt5c	405	509	280	295	370	558	491	483
Nt5c1a	0	0	0	1	0	1	2	0
Nt5c1b	2	1	1	0	4	1	0	6
Nt5c2	254	329	148	151	281	271	276	265
Nt5c3	231	315	260	231	291	337	174	262
Nt5c3b	26	19	15	11	25	34	42	29
Nt5dc1	244	200	158	174	220	188	247	254
Nt5dc2	4	18	5	14	10	43	47	60
Nt5dc3	15	20	6	9	16	27	8	8
Nt5e	6	14	3	8	23	45	276	236
Nt5m	75	93	36	48	69	63	88	52
Ntan1	235	304	149	149	210	263	273	242
Ntf3	0	0	0	1	0	0	0	0
Ntf5	0	0	1	2	2	0	0	0
Nthl1	32	10	12	10	4	17	15	8
Ntm	0	3	3	4	3	0	3	3
Ntmt1	98	90	61	50	100	120	117	107
Ntn1	5	10	2	6	6	7	5	4
Ntn4	0	4	2	4	6	2	0	1
Ntn5	4	0	0	0	0	0	0	0
Ntng1	16	10	5	6	15	4	12	10
Ntng2	188	154	73	55	105	208	202	175
Ntpcr	204	174	110	114	131	206	351	338
Ntrk1	1	0	0	0	5	0	0	0
Ntrk2	24	7	4	0	18	5	4	5
Ntrk3	33	30	12	22	35	4	35	26
Nts	1	0	0	1	0	0	1	2
Ntsr1	1	1	1	1	0	1	0	0
Ntsr2	1	1	0	0	2	0	1	1
Nuak1	2	4	3	5	0	3	2	4
Nuak2	643	675	644	478	779	886	566	798
Nub1	223	286	177	166	231	185	164	210
Nubp1	144	214	141	103	167	194	214	229
Nubp2	597	710	417	451	580	758	778	826
Nubpl	39	31	19	20	31	30	50	49
Nucb1	1008	1193	664	751	955	1146	1367	1196
Nucb2	254	271	140	209	272	330	440	359
Nucks1	223	233	136	211	234	113	287	297
Nudc	184	226	100	125	152	236	202	219
Nudcd1	49	103	54	56	118	76	84	121
Nudcd2	50	65	59	35	92	116	163	127
Nudcd3	412	514	281	323	356	195	386	396
Nudt1	30	41	16	18	27	19	24	31
Nudt10	0	0	0	0	0	0	0	1
Nudt11	0	1	1	1	1	0	0	0
Nudt12	0	3	6	4	5	4	12	4
Nudt13	137	275	91	104	158	143	150	151
Nudt14	74	56	35	63	65	89	71	85
Nudt15	5	8	4	3	3	3	1	7
Nudt16	102	149	90	114	106	124	174	162
Nudt16l1	191	216	108	136	156	186	192	201
Nudt17	19	14	14	2	19	2	2	14
Nudt18	159	109	71	81	90	78	88	134
Nudt19	113	122	90	113	157	153	181	182
Nudt2	21	43	21	34	41	56	55	28
Nudt21	97	96	46	74	99	79	112	103
Nudt22	89	117	36	65	83	88	63	80
Nudt3	184	274	84	134	184	232	148	175
Nudt4	155	229	92	88	139	114	124	145
Nudt5	129	189	68	96	108	136	131	189
Nudt6	10	12	8	5	8	18	17	7
Nudt7	120	119	66	82	56	84	89	97
Nudt8	2	6	3	6	2	5	13	6
Nudt9	75	82	53	64	58	100	97	103
Nuf2	4	19	6	5	17	0	21	8
Nufip1	137	186	121	129	125	271	183	216
Nufip2	306	353	199	257	295	357	239	373
Nuggc	4	5	0	1	2	0	3	6
Numa1	315	415	240	224	286	240	290	362
Numb	220	260	192	194	209	95	266	306
Numbl	7	26	8	14	19	8	18	16
Nup107	155	264	168	147	200	217	188	210
Nup133	109	167	97	105	124	62	101	173
Nup153	220	312	165	173	245	197	213	231
Nup155	170	129	66	74	150	110	133	161
Nup160	166	242	134	139	181	59	202	292
Nup188	203	187	93	99	151	89	171	160
Nup205	156	186	109	118	164	96	191	195
Nup210	339	638	304	216	318	244	144	184
Nup210l	10	15	12	16	22	25	14	24
Nup214	347	495	247	265	417	332	435	470
Nup35	21	16	29	10	20	23	27	15
Nup37	36	40	24	26	36	43	44	40
Nup43	26	56	40	17	31	75	55	54
Nup50	179	226	156	191	239	170	218	253
Nup54	107	137	118	91	141	152	171	178
Nup62	164	137	78	87	145	169	148	166
Nup62cl	0	1	0	2	1	0	1	0
Nup85	164	225	91	131	153	140	237	173
Nup88	460	527	391	396	622	625	647	674
Nup93	140	115	64	115	121	144	191	149
Nup98	579	870	434	573	767	586	829	907
Nupl1	350	263	182	247	319	82	350	353
Nupl2	64	63	38	34	60	31	93	64
Nupr1	591	574	333	350	501	857	405	568
Nupr1l	10	0	3	5	4	3	9	1
Nus1	81	123	57	84	65	158	170	179
Nusap1	3	11	4	2	1	4	4	14
Nutf2	48	36	32	35	39	40	37	31
Nutf2-ps1	0	1	2	0	0	1	2	0
Nutm1	1	0	3	2	5	0	6	5
Nutm2	1	0	0	0	2	1	0	1
Nvl	326	397	220	253	316	215	281	395
Nwd1	10	7	1	2	5	4	6	5
Nwd2	0	13	3	5	11	0	1	4
Nxf1	940	1209	691	709	926	932	833	1022
Nxf2	3	0	0	1	5	1	5	1
Nxf3	5	0	0	0	1	2	0	0
Nxf7	2	2	2	0	2	0	5	3
Nxn	10	23	7	7	17	5	14	13
Nxnl1	1	2	1	1	1	3	5	8
Nxnl2	1	1	2	0	0	0	0	0
Nxpe2	1	1	2	1	11	2	7	5
Nxpe3	36	30	15	25	16	10	22	28
Nxpe4	1569	2019	1240	1520	1887	1201	880	1194
Nxpe5	161	58	58	30	86	253	269	315
Nxph1	10	2	2	5	2	2	1	0
Nxph2	1	5	0	0	3	0	1	0
Nxph3	0	0	0	0	0	0	0	0
Nxph4	0	0	0	0	0	0	0	0
Nxt1	117	157	95	108	143	166	114	156
Nxt2	143	164	138	187	186	179	153	191
Nyap1	6	7	1	1	3	2	4	1
Nyap2	13	3	6	5	25	7	6	9
Nynrin	3	8	7	1	5	1	2	3
Nyx	9	8	2	0	3	1	3	0
Oacyl	1	2	3	3	2	2	4	7
Oaf	15	23	1	7	6	1	23	3
Oard1	212	249	172	166	207	224	272	191
Oas1a	585	750	461	421	501	610	317	439
Oas1c	12	13	9	10	17	16	12	23
Oas1d	0	2	3	1	3	0	0	0
Oas1e	0	0	1	0	1	0	0	0
Oas1f	1	1	0	0	0	0	0	0
Oas1g	65	78	65	67	51	75	43	41
Oas1h	3	4	0	0	2	2	1	1
Oas2	1096	1134	868	712	652	1109	699	833
Oas3	982	1169	970	918	979	490	523	610
Oasl1	150	169	136	146	141	89	60	127
Oasl2	1266	1699	1473	1316	1794	1444	824	1008
Oat	328	384	231	287	488	497	550	492
Oaz1	805	1096	566	626	865	1254	887	959
Oaz2	282	323	313	250	294	283	271	331
Oaz3	4	10	1	2	4	6	0	3
Obox1	1	1	1	0	0	1	1	0
Obox2	1	0	1	0	2	0	3	0
Obox3	2	0	0	0	1	0	0	0
Obox5	0	6	0	0	0	0	4	1
Obox6	4	2	0	1	3	0	1	3
Obox7	1	0	1	2	1	2	0	1
Obox8	1	0	0	0	1	0	2	2
Obp1a	0	0	0	0	1	0	0	0
Obp1b	0	0	0	0	0	0	0	0
Obp2a	0	10	0	3	3	0	0	0
Obp2b	0	3	0	0	2	0	0	0
Obscn	36	18	3	6	20	8	23	6
Obsl1	3	3	2	4	7	0	2	2
Oc90	4	4	3	12	3	0	2	4
Oca2	7	9	2	1	3	0	6	11
Ocel1	140	149	96	78	114	105	102	107
Ociad1	1162	1278	751	790	1010	1516	1252	1176
Ociad2	0	5	0	5	2	0	0	2
Ocln	15	8	2	4	6	6	14	4
Ocm	1	0	0	0	1	0	1	0
Ocrl	163	170	115	146	142	147	245	293
Ocstamp	35	33	32	47	40	151	109	160
Odam	1	0	4	0	4	0	1	0
Odaph	9	1	2	1	6	0	3	0
Odc1	15	11	6	5	20	86	24	19
Odf1	1	1	0	0	5	0	6	0
Odf2	199	274	154	225	225	162	343	273
Odf2l	40	19	21	21	33	28	54	39
Odf3	8	0	2	8	0	0	3	4
Odf3b	0	0	0	4	1	0	0	3
Odf3l1	1	0	0	0	1	1	0	1
Odf3l2	2	1	2	0	0	0	0	0
Odf4	0	0	0	0	3	0	0	1
Ofcc1	2	0	1	2	2	4	3	4
Ofd1	47	76	36	19	39	14	27	12
Ogdh	1178	1488	733	858	1164	1022	1218	1512
Ogdhl	3	3	8	0	4	0	1	1
Ogfod1	94	152	53	99	115	82	116	109
Ogfod2	125	128	84	86	57	117	119	101
Ogfod3	35	18	10	20	27	49	47	40
Ogfr	747	900	634	554	851	882	737	836
Ogfrl1	297	372	207	189	278	227	251	235
